time_idx,time_s2,scl_pct
334,20220220T153621_20220220T153621_T18NUK,0.19030786
335,20220222T152639_20220222T152811_T18NUJ,0.12320387
336,20220222T152639_20220222T152811_T18NUK,0.018164687
337,20220225T153619_20220225T153614_T18NUJ,0.29642418
338,20220225T153619_20220225T153614_T18NUK,0.05536114
339,20220227T152641_20220227T153011_T18NUJ,0.0
340,20220227T152641_20220227T153011_T18NUK,0.0
341,20220302T153621_20220302T153622_T18NUJ,5.070256e-05
342,20220302T153621_20220302T153622_T18NUK,7.4275966e-05
343,20220304T152639_20220304T152907_T18NUJ,0.007920398
344,20220304T152639_20220304T152907_T18NUK,6.0579687e-06
345,20220307T153619_20220307T153616_T18NUJ,0.1735278
346,20220307T153619_20220307T153616_T18NUK,0.053519517
347,20220309T152641_20220309T152853_T18NUJ,0.11801081
348,20220309T152641_20220309T152853_T18NUK,0.016466085
349,20220312T153621_20220312T153627_T18NUJ,0.066132076
